ID_Anuncio,Agencia,Fecha_Publicacion,Direccion,Ciudad,Precio_COP,Area_m2,Num_Habitaciones,Num_Banos,Ano_Construccion
1079,Tu Casa Ideal,2024-09-26,Avenida 138 # 8 - 31,Medellín,1138000000.0,,2,3.0,1987.0
89,Tu Casa Ideal,2023-08-17,Transversal 23 # 25 - 32,Bogotá D.C.,1702000000.0,64.0,1,1.0,2014.0
1011,Tu Casa Ideal,2023-11-17,Carrera 119 # 63 - 26,Bogotá D.C.,585000000.0,75.0,5,3.0,1995.0
515,Propiedades del Sol,2025-07-07,Transversal 81 # 25 - 39,Barranquilla,1622000000.0,168.0,1,3.0,2019.0
266,Conexión Urbana,2025-02-07,Diagonal 80 # 40 - 77,Cartagena,1119000000.0,182.0,4,1.0,2009.0
57,Conexión Urbana,2024-10-02,Diagonal 20 # 41 - 38,Bogotá D.C.,,176.0,3,4.0,
795,Inmobiliaria Andina,2025-04-14,Carrera 76 # 51 - 10,Medellín,977000000.0,50.0,2,3.0,2011.0
951,Inmobiliaria Andina,2025-05-15,Transversal 22 # 88 - 36,Cali,1779000000.0,,4,3.0,2006.0
1121,Propiedades del Sol,2024-12-21,Diagonal 23 # 68 - 73,Cali,1646000000.0,321.0,2,1.0,2005.0
51,Inmobiliaria Andina,2023-11-30,Calle 93 # 56 - 20,Cartagena,1721000000.0,127.0,3,2.0,2001.0
1172,Horizonte Propiedades,2025-07-09,Diagonal 68 # 53 - 36,Medellín,751000000.0,279.0,6,4.0,1991.0
821,Conexión Urbana,2023-12-23,Avenida 46 # 96 - 70,Bogotá D.C.,1888000000.0,89.0,2,4.0,2002.0
391,Propiedades del Sol,2024-08-06,Transversal 21 # 56 - 22,Medellín,1611000000.0,,2,3.0,2005.0
525,Horizonte Propiedades,2025-01-19,Avenida 6 # 28 - 58,Cartagena,1495000000.0,273.0,2,2.0,1993.0
496,Tu Casa Ideal,2023-09-10,Avenida 5 # 2 - 56,Cartagena,547000000.0,72.0,6,3.0,2021.0
1069,Conexión Urbana,2023-09-02,Calle 5 # 15 - 76,Medellín,1374000000.0,,4,4.0,1986.0
815,Conexión Urbana,2024-05-30,Carrera 16 # 30 - 50,Cartagena,651000000.0,144.0,2,2.0,1994.0
45,Conexión Urbana,2024-08-31,Carrera 85 # 38 - 89,Bogotá D.C.,462000000.0,181.0,2,3.0,
521,Tu Casa Ideal,2025-07-08,Diagonal 84 # 96 - 2,Cali,884000000.0,195.0,1,1.0,2012.0
859,Horizonte Propiedades,2024-08-11,Avenida 132 # 41 - 81,Medellín,790000000.0,110.0,2,3.0,
1422,Propiedades del Sol,2023-09-01,Avenida 85 # 92 - 43,Barranquilla,555000000.0,339.0,3,3.0,1990.0
1015,Horizonte Propiedades,2025-03-05,Transversal 78 # 12 - 82,Bogotá D.C.,1740000000.0,100.0,4,2.0,1981.0
935,Propiedades del Sol,2024-04-15,Carrera 80 # 6 - 66,Medellín,494000000.0,76.0,2,1.0,2002.0
836,Horizonte Propiedades,2024-07-14,Diagonal 142 # 61 - 32,Barranquilla,339000000.0,190.0,4,3.0,2016.0
829,Inmobiliaria Andina,2024-02-07,Transversal 124 # 14 - 49,Bogotá D.C.,731000000.0,167.0,4,2.0,2005.0
1531,Horizonte Propiedades,2023-12-28 00:00:00,Avenida 120 # 87 - 17,Medellín,1327000000.0,60.0,6,3.0,2024.0
461,Inmobiliaria Andina,2024-06-08,Calle 138 # 92 - 33,Bogotá D.C.,1981000000.0,,1,3.0,1986.0
1330,Horizonte Propiedades,2024-05-10,Carrera 102 # 61 - 6,Barranquilla,1616000000.0,170.0,6,1.0,
383,Horizonte Propiedades,2024-06-22,Calle 40 # 66 - 51,Medellín,1760000000.0,73.0,2,4.0,2010.0
1272,Tu Casa Ideal,2024-04-22,Transversal 41 # 33 - 76,Cali,1817000000.0,308.0,1,,1990.0
1072,Inmobiliaria Andina,2023-09-17,Avenida 12 # 34 - 64,Bogotá D.C.,1022000000.0,347.0,6,1.0,2008.0
960,Conexión Urbana,2024-12-22,Diagonal 11 # 47 - 45,Medellín,987000000.0,316.0,1,1.0,1984.0
232,Tu Casa Ideal,2024-03-22,Carrera 57 # 27 - 100,Barranquilla,935000000.0,,1,3.0,
1424,Propiedades del Sol,2025-05-06,Avenida 33 # 23 - 88,Medellín,1398000000.0,111.0,3,1.0,1980.0
1430,Propiedades del Sol,2024-10-14,Avenida 36 # 69 - 70,Medellín,1516000000.0,79.0,3,3.0,2004.0
1212,Tu Casa Ideal,2024-11-18,Avenida 80 # 65 - 48,Cartagena,1254000000.0,,3,3.0,1980.0
772,Conexión Urbana,2023-11-15,Calle 6 # 42 - 77,Bogotá D.C.,1711000000.0,,3,1.0,2013.0
544,Propiedades del Sol,2024-03-03,Avenida 142 # 30 - 53,Cali,1231000000.0,307.0,5,4.0,
1354,Tu Casa Ideal,2024-08-08,Carrera 41 # 91 - 78,Bogotá D.C.,1046000000.0,166.0,2,1.0,2016.0
417,Conexión Urbana,2025-01-08,Diagonal 88 # 81 - 66,Cartagena,752000000.0,79.0,4,4.0,
118,Horizonte Propiedades,2024-03-30,Calle 5 # 83 - 61,Cali,563000000.0,232.0,5,4.0,1994.0
448,Inmobiliaria Andina,2024-02-10,Carrera 147 # 100 - 44,Bogotá D.C.,478000000.0,207.0,5,3.0,1986.0
848,Conexión Urbana,2024-11-26,Diagonal 79 # 38 - 11,Barranquilla,165000000.0,121.0,5,,1981.0
157,Inmobiliaria Andina,2025-01-29,Carrera 114 # 59 - 45,Medellín,374000000.0,337.0,2,4.0,2005.0
858,Conexión Urbana,2025-02-11,Carrera 21 # 44 - 94,Medellín,1757000000.0,,4,1.0,1990.0
1310,Conexión Urbana,2024-07-28,Carrera 141 # 48 - 12,Barranquilla,887000000.0,145.0,6,3.0,2023.0
940,Conexión Urbana,2023-12-20,Transversal 143 # 64 - 67,Bogotá D.C.,1389000000.0,184.0,5,2.0,
1210,Conexión Urbana,2024-09-10,Carrera 69 # 100 - 64,Medellín,322000000.0,339.0,2,4.0,
168,Conexión Urbana,2025-06-08,Transversal 73 # 49 - 35,Medellín,1640000000.0,,5,4.0,1983.0
267,Tu Casa Ideal,2025-05-09,Calle 34 # 24 - 40,Bogotá D.C.,1910000000.0,73.0,4,2.0,2011.0
502,Propiedades del Sol,2024-05-17,Avenida 114 # 87 - 57,Bogotá D.C.,1306000000.0,167.0,6,3.0,2017.0
1064,Conexión Urbana,2025-03-25,Avenida 24 # 61 - 56,Barranquilla,1956000000.0,239.0,1,4.0,
296,Propiedades del Sol,2024-11-19,Carrera 139 # 57 - 93,Cali,1564000000.0,313.0,3,3.0,2003.0
124,Propiedades del Sol,2025-04-15,Transversal 4 # 64 - 61,Cartagena,637000000.0,328.0,1,2.0,
846,Conexión Urbana,2025-07-11,Avenida 9 # 69 - 27,Bogotá D.C.,876000000.0,279.0,1,3.0,2009.0
504,Tu Casa Ideal,2025-03-28,Transversal 91 # 51 - 83,Bogotá D.C.,951000000.0,177.0,5,2.0,2007.0
938,Conexión Urbana,2024-02-16,Carrera 94 # 36 - 6,Barranquilla,435000000.0,160.0,2,4.0,2022.0
1124,Tu Casa Ideal,2024-06-13,Transversal 6 # 58 - 99,Bogotá D.C.,407000000.0,211.0,4,2.0,2002.0
246,Tu Casa Ideal,2024-01-20,Transversal 123 # 53 - 2,Bogotá D.C.,1313000000.0,163.0,5,1.0,1998.0
1111,Tu Casa Ideal,2024-02-05,Diagonal 85 # 82 - 9,Barranquilla,254000000.0,250.0,5,1.0,1987.0
1539,Propiedades del Sol,2024-09-24 00:00:00,Diagonal 32 # 4 - 52,Barranquilla,262000000.0,71.0,2,2.0,2004.0
648,Inmobiliaria Andina,2023-08-26,Calle 134 # 73 - 1,Bogotá D.C.,601000000.0,182.0,4,1.0,2004.0
612,Tu Casa Ideal,2024-03-11,Calle 147 # 42 - 93,Cartagena,504000000.0,172.0,4,4.0,1984.0
1213,Propiedades del Sol,2025-02-04,Calle 18 # 76 - 45,Barranquilla,1490000000.0,173.0,6,2.0,2000.0
905,Inmobiliaria Andina,2024-11-28,Avenida 127 # 81 - 89,Bogotá D.C.,854000000.0,100.0,4,3.0,
553,Propiedades del Sol,2024-10-25,Calle 78 # 7 - 91,Cali,1918000000.0,70.0,3,2.0,2017.0
1269,Inmobiliaria Andina,2024-03-24,Carrera 2 # 20 - 31,Barranquilla,1003000000.0,128.0,1,3.0,
345,Conexión Urbana,2024-07-24,Diagonal 46 # 75 - 91,Cali,1757000000.0,294.0,4,4.0,
505,Propiedades del Sol,2025-02-15,Avenida 50 # 85 - 55,Bogotá D.C.,663000000.0,349.0,4,3.0,2018.0
932,Horizonte Propiedades,2025-07-01,Diagonal 72 # 32 - 20,Cartagena,1206000000.0,118.0,3,3.0,2000.0
1158,Inmobiliaria Andina,2024-10-07,Diagonal 13 # 93 - 61,Cartagena,757000000.0,87.0,6,1.0,1992.0
1105,Horizonte Propiedades,2024-12-23,Diagonal 37 # 46 - 49,Cartagena,1957000000.0,,5,2.0,2012.0
1468,Conexión Urbana,2023-09-04,Avenida 9 # 68 - 53,Barranquilla,835000000.0,165.0,1,3.0,1993.0
1128,Tu Casa Ideal,2025-02-10,Diagonal 111 # 99 - 43,Medellín,949000000.0,329.0,4,,2001.0
210,Horizonte Propiedades,2024-04-01,Diagonal 74 # 64 - 24,Bogotá D.C.,1013000000.0,244.0,4,4.0,2007.0
325,Conexión Urbana,2025-06-07,Avenida 102 # 34 - 76,Barranquilla,231000000.0,298.0,3,4.0,1985.0
830,Inmobiliaria Andina,2025-01-14,Carrera 24 # 91 - 33,Cartagena,491000000.0,270.0,6,1.0,2014.0
611,Inmobiliaria Andina,2025-03-27,Avenida 2 # 12 - 1,Bogotá D.C.,,65.0,4,1.0,
349,Tu Casa Ideal,2025-06-14,Transversal 128 # 50 - 64,Cartagena,792000000.0,79.0,3,2.0,2011.0
1349,Inmobiliaria Andina,2024-04-29,Transversal 1 # 33 - 38,Medellín,346000000.0,287.0,2,4.0,
1173,Tu Casa Ideal,2024-10-03,Diagonal 115 # 76 - 19,Cartagena,1782000000.0,75.0,4,1.0,
1485,Horizonte Propiedades,2023-07-27,Carrera 113 # 80 - 17,Medellín,1345000000.0,116.0,5,4.0,1987.0
443,Propiedades del Sol,2023-10-09,Transversal 21 # 49 - 35,Bogotá D.C.,669000000.0,317.0,5,2.0,1981.0
502,Propiedades del Sol,2024-05-17,Avenida 114 # 87 - 57,Bogotá D.C.,1306000000.0,167.0,6,3.0,2017.0
884,Inmobiliaria Andina,2024-09-06,Avenida 98 # 63 - 76,Bogotá D.C.,543000000.0,153.0,3,4.0,2011.0
1548,Conexión Urbana,2023-11-01 00:00:00,Carrera 93 # 49 - 23,Medellín,919000000.0,194.0,5,1.0,2023.0
1152,Horizonte Propiedades,2024-12-23,Carrera 84 # 86 - 29,Bogotá D.C.,1313000000.0,72.0,4,3.0,1990.0
212,Inmobiliaria Andina,2024-08-20,Transversal 86 # 21 - 25,Cali,588000000.0,344.0,5,2.0,2011.0
1559,Propiedades del Sol,2025-03-09 00:00:00,Carrera 10 # 72 - 3,Cali,1275000000.0,146.0,2,2.0,1998.0
853,Horizonte Propiedades,2025-06-14,Transversal 15 # 27 - 86,Cali,331000000.0,217.0,3,2.0,
24,Propiedades del Sol,2024-06-16,Transversal 14 # 65 - 34,Barranquilla,607000000.0,208.0,4,3.0,
577,Tu Casa Ideal,2024-10-15,Carrera 2 # 93 - 82,Cartagena,1518000000.0,301.0,6,3.0,2022.0
1544,Conexión Urbana,2023-11-26 00:00:00,Avenida 78 # 52 - 92,Medellín,1694000000.0,160.0,4,4.0,
